channel_id,title,subscriber_count,discovery_method,first_seen_at,description,engagement_rate,cadence,velocity
UC94m18wtI9QAYrXKXqFPWDg,Ben Mallah,1100000,keyword,2026-08-14 19:05:01.998510+03:00,"Playing monopoly for Real.
Over 30 years of Real Estate Investing  
Private phone call or meeting with Ben https://BenMallah.com 
Live events https://BenMallah.com/Live 
Speaking engagements available! 
Email AskBen@BenMallah.com (NO short form inquires, it will be ignored) 

Stay at Ben's Hotel: https://BensHotels.com
Ben's properties for sale https://1031save.com 
Follow Ben:
Twitter https://twitter.com/ben_mallah 
Instagram https://www.instagram.com/realbenmallah
Facebook https://www.facebook.com/Ben-Mallah-L...
Spotify https://open.spotify.com/album/7xQOjA...

MERCH!
teespring.com/stores/ben-mallah-life-...

Rafal (Production/Editing)
https://www.instagram.com/scoopof3d

Spotify https://open.spotify.com/album/7xQOjA...

Real Estate,
Real Estate Investing, 
Personal Finance, 
Stocks, 
Comedy, Funny, 
Rich people,
Millionaires,
commercial real estate,
how to make money,
motivation,  private jet, money, podcast, 

",0.02502,4.63,0.6377
UCY3cHUi4DFx-DyGBlH-tVjw,STOCK MARKET CLASSES,1020000,keyword,2026-08-14 19:09:15.739936+03:00,"Hello everyone I am Founder & CEO of ""SMC"" channel (Stock Market Classes).
In this channel you will get ""Basics of Stock Market For Beginners Lecture "" ""stock market knowledge"" ""Business Ideas"" ""stock market latest news"" ""stock market news"" ""stock market fundamental analysis"" ""stock market technical analysis"" ""stock market charts"" ""stock market for beginners"" ""stock market in Hindi"" ""Financial awareness"" ""finance news"" "" FREE Stock Market Classes in Hindi"" ''Stock Market Basics"" etc...

This channel is only for education and knowledge purpose
IMP Note :
There is No Paid Membership , No Join Button , No Website / Instagram / FB / Whats app group / telegram or any other social media . ( if u found any than its fake )
( we have 2 Official YouTube Channels ONLY i.e. SMKC & SMC & both are 100% FREE )

I am not a SEBI registered.
I am just keeping my point of view about stock market and shares.
Hence before taking any decision consult or discuss with u r financial Advisor.

Happy Learning :)",0.116019,4.2,0.6732
UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,948000,keyword,2026-08-14 18:58:12.731806+03:00,"My name is Jeremy Lefebvre and I created the Financial Education Channel as somewhere people from all backgrounds, countries etc can come and learn about Investing, Personal Finance and entrepreneurship!

Apply to join my private Stock group & Wealth Group with this link

FAQ
*What do you do each day?
Now a days I focus most of my time on finding the next home run stocks, running my stock portfolios, help my private stock group members reach 6 figure, 7 figure and 8 figure milestones, and lastly record Youtube videos! I use to have a real estate marketing company before youtube took off. Before that I was a manager for a company named Quiktrip.

*Wife Kids?
Yes I have a beautiful wife and 2 awesome little boys

*When did you start the Financial Education channel?
I started in  2016

*Any advice to retail investors?
Do Research and watch my videos on investing!",0.060123,11.1,0.7433
UCBqvATpjSubtNxpqUDj4_cA,Anshuman Sharma,937000,keyword,2026-08-14 18:58:15.141801+03:00,I am a mutual fund advisor who is now on a mission to make finance a part of the pop culture. ,0.020285,16.65,1.4719
UC0BGhWsIbV7Dm-lsvhdlMbA,ZipTrader,896000,keyword,2026-08-14 19:05:19.867055+03:00,"I'm Charlie Plattus, and this is ZipTrader—your home for market analysis that's actually easy to understand. We dig into growth stocks, emerging sectors, technical setups, and the macro trends shaping where money flows next. Whether it's AI, energy, biotech, or whatever's moving markets tomorrow, we're breaking it down so you can stay ahead of the curve. Let's get to work!

Our Terms of Service - https://ziptrader.com/termsofservice/
",0.037136,10.95,0.8918
UCbKdotYtcY9SxoU8CYAXdvg,"Let's Talk Money! with Joseph Hogue, CFA",754000,keyword,2026-08-14 19:09:14.388762+03:00,"Welcome to your chance to create the financial future you deserve. I spent more than a decade in stock analysis for private wealth management and venture capital but I love the face-to-face interaction we get here on YouTube. I pride myself on professional analysis you won't see anywhere else on YouTube! 

Joseph Hogue is a financial expert and investment analyst. After serving in the Marine Corps, he started his career investing in real estate before becoming an investment analyst for some of the largest private investors. He's appeared on Bloomberg and on CNBC as an investment expert and has published ten books on investing. He holds a master's degree and the Chartered Financial Analyst (CFA) designation. Now he helps investors reach their financial goals and invest in the stock market with some of the same advice he used when working for the rich.

Don't forget to subscribe to the channel, it's free and you'll never miss a video.",0.032789,16.64,0.9004
UChObmEJP3bgGUXJGc2ePP3Q,Our Rich Journey,682000,unattributed,2026-08-14 19:11:58.733144+03:00,"Welcome to Our Rich Journey!

If you’ve been following our story, you know that our family of four reached FIRE (financial independence retire early) in August 2019. That’s right - at the age of 39, we retired early and moved to Lisbon, Portugal!

When we started pursuing FIRE, the movement was relatively small and not many people knew about it.  But through our Channel, we’re hoping more people learn about FIRE! In our videos we share ways to make money, save money, and invest money - to inspire you to pursue financial independence.  

Our goal is to share our experiences with you, so that you can learn from them and so that you can also successfully pursue financial independence. We’ve created quite the community of Our Rich Journey FIRE starters.  So, what are you waiting for? Join the journey and start that FIRE! 

Subscribe NOW!",0.053216,6.73,0.7824
UCkcnYVAVZQOB-nXHechtXDg,Benjamin,643000,keyword,2026-08-14 19:09:10.111607+03:00,"
",0.034859,0.54,0.3066
UCOHxDwCcOzBaLkeTazanwcw,Bravos Research,636000,keyword,2026-08-14 19:05:23.288917+03:00,"Welcome to Bravos Research! We’re here to help you profit from global markets with trade ideas, data-driven market analysis and education.

Our mission is to always strive to understand markets and achieve superior returns.

Our investment strategy combines macro and technical analysis. We look at economic data and signals from stocks, currencies, and credit markets. Technical analysis helps us time the market, ensuring we make each decision with the highest probability of success.

But profitable trading isn’t just about great research. We believe having the right mindset is just as important to being a successful trader. Many of the well-known Wall Street strategists fail to be profitable because they let emotions take control and can’t manage risk.
That’s why we help our clients manage their psychology, risk management, and develop discipline.

Our goal is to give you both the edge and the mindset to consistently profit from markets.

Visit https://www.bravosresearch.com
",0.025926,5.77,0.935
UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,624000,keyword,2026-08-14 19:00:11.089867+03:00,"I post videos on investing, financial decision-making, and living a good life.

My name is Ben Felix. I am a Portfolio Manager and the Chief Investment Officer at PWL Capital. I am a CFA charterholder and CFP professional. I am securities licensed in Canada by CIRO.

All channel content is produced and owned by PWL Capital Inc.
",0.034841,1.79,0.789
UCzomXQvDl2UblYIjBoFR8aw,Ken McElroy,527000,keyword,2026-08-14 19:05:03.323761+03:00,"Ken McElroy is the CEO of MC Companies, author and investor who offers a wealth of personal experiences, expert guests, practical advice, success stories, and even some informative setbacks, all presented here to educate and inspire. Whether you’re a entrepreneur, investor or just looking for real education within real estate and beyond, Ken offers no b.s. insights and resources for all levels. Be sure to download Ken's Infinite Returns Platform available on IOS and Android and gain proximity to like minded real estate investors on his exclusive real estate platform and forum. 

About Ken: With over two decades of experience in real estate investing, Ken McElroy is passionate about sharing the good life by helping real estate investors grow and prosper. This channel is a place for Ken to discuss numerous topics connected to real estate investing, including finance, budgeting, the entrepreneur mindset, and creating passive income.    
",0.031914,60.15,1.3056
UCA8P3Rgfjn0IFZL4bmrKbrg,Rule #1 Investing,503000,keyword,2026-08-14 18:58:05.749691+03:00,"Official YouTube channel of Phil Town and Rule #1 Investing. 

DISCLAIMER:
Rule One Investing provides general education only. We are not a registered investment advisor, broker-dealer, or financial advisor. Nothing here or in any workshop constitutes personalized investment advice or a recommendation to buy or sell securities. Phil Town’s personal results are historical, shown for educational purposes only, and are not typical. Past performance is no guarantee of future results. Most investors do not achieve similar returns. Stock examples and outcomes shown are illustrative only and are not recommendations. Investing involves substantial risk, including complete loss of principal. No strategy guarantees profits. Testimonials are from real, unpaid students who volunteered their experiences. You are solely responsible for your investment decisions. Investing involves risk of loss.

©️ 2025 Rule One Investing LLC. All rights reserved.

",0.025093,8.02,0.2341
UC2Zg12phLyX1KTnH6D47d9g,Invest with Henry,484000,keyword,2026-08-14 18:58:07.023969+03:00,"12 years option trading. Retired but love teaching and coaching students how to make full-time income with options. 
I travel a lot and currently live the nomad lifestyle because option trading allows me to do it. I turned $17,000 into $1,800,000 in a few years. Average 75% annualized returns. 
",0.036272,16.01,1.203
UCr4XXQznhlgfzo4mwOgkF8w,Investing Simplified - Professor G,459000,keyword,2026-08-14 18:58:08.553753+03:00,"My goal is to set you up for success by making investing & personal finance much more simple!

I was frustrated with my (lack of) financial education in high school and college, so I make it my duty to teach people what they desperately need to know in order to be successful. I discuss ETFs, stocks, & retirement to cryptocurrency and rental properties along with starting and running successful businesses of all sizes. 

For Private Financial Coaching: ProfessorG.invest@gmail.com
For business inquiries: InvestingSimplified@thoughtleaders.io
Use my link to book a sponsorship with me NOW! thoughtleaders.io/reserve/investing-simplified-professor-g

*This channel is for informational purposes only and is not financial, legal, or investment advice. ""Investing Simplified - Professor G"" is owned by NGFINCO, LLC. Always do your own research and consult a licensed professional. We are not responsible for any losses or decisions made based on this content.
",0.033172,13.39,1.0738
UCbrzodypxhc9_cOg5kqre6Q,Atul Patel ,353000,keyword,2026-08-14 19:09:21.046739+03:00,"Hello Traders, I’m Atul Patel — Equity Swing Trader & Content Creator.

⚠️ REGULATORY & ROLE DISCLOSURE

SEIRI INVESTMENT PRIVATE LIMITED is a SEBI-registered Research Analyst entity.

SEBI Reg. No.: INH000022765
Registered Office: Kachnar City, Vijay Nagar, Jabalpur, Madhya Pradesh
Principal Officer: CA Nandkishore Patel
Website: seiriinvestment.com

Atul Patel works solely as a Equity Research Analyst, content creator and presenter. He is not individually registered with SEBI as a Research Analyst and does not independently prepare, select, approve, modify or issue any security-specific research report or trade recommendation. He does not provide personalized investment advice, portfolio-management services or assured-return claims.

Any official research or recommendation is issued only by SEIRI INVESTMENT PRIVATE LIMITED only.
Investment in securities market are subject to market risks. Read all the related documents carefully before investing.

",0.051446,9.6,0.5518
UCOEZmyqPYJzXOdB9QF_pBDA,Katie Tutorials,304000,keyword,2026-08-14 19:09:30.619076+03:00,"This is Katie Tutorial channel for new traders. If you are not experienced and need some help, watch my videos and you will get more knowledge about trading.",0.030371,2.19,0.8388
UCWadGv7GpSiaDVwUh6JuI3A,Jeet Crypto,234000,keyword,2026-08-14 19:05:04.650147+03:00,"Welcome to Jeet Crypto! Your go-to spot for everything crypto. From breaking news and tips to expert insights and trading strategies, we've got you covered. Dive into our exciting Shorts for quick updates, tune into our Podcasts for in-depth discussions, and explore our tutorials and guides to sharpen your skills. Join our community and ride the crypto wave with confidence!!

🔔 Subscribe now and never miss an update!

Disclaimer: The content on Jeet Crypto is for informational purposes only and does not constitute financial advice. Cryptocurrency investments are highly speculative and carry significant risk. Always do your own research and consult with a professional financial advisor before making any investment decisions. Jeet Crypto and its team are not responsible for any financial losses incurred based on the information provided on this channel. 

For Collab/Partnership : teamjeetcrypto@gmail.com
",0.047101,5.43,1.0134
UC4_aeHO9Et1h3rEpQAtMAPw,Bradley on a Budget,227000,keyword,2026-08-14 19:12:11.281774+03:00,"WELCOME! I'm Bradley, aka Bradley on a Budget from TikTok and welcome to my podcast on living frugal and how to stop being an idiot with your money :) Be sure to SUBSCRIBE!

0 F: badboybrad 

Thanks for you love and support. I am so immensely grateful for you and happy to have you here :)
",0.050213,26.79,0.987
UCXzNNA2ngRpRiWvyA7eGd6w,Nick Invests,191000,keyword,2026-08-14 18:58:09.986146+03:00,"I’m Nick, and I create easy-to-understand animated videos about personal finance, investing, passive income, and managing debt. My goal is to break down complex financial topics using whiteboard animations that make learning both simple and engaging.

Whether you're looking to grow your money, escape debt, or start building passive income streams, you’re in the right place.

Contact me for any request: nickinvestsusa@gmail.com

🔔 Subscribe for weekly videos designed to inform and entertain — no jargon, just clear insights.
📌 Please note: These videos are for entertainment purposes only and do not constitute financial advice.
📌 Disclaimer: This channel features original fan art and illustrations inspired by adult animation styles. All characters and artwork are original creations and are used for entertainment and illustrative purposes only.
",0.043895,30.02,1.2521
UC6LBqoy0A8uNVdWPCDN37Hw,SPEAKER SINGH ULO,182000,keyword,2026-08-14 18:57:57.580094+03:00,"Welcome to Speaker Singh ULO—your ultimate guide to mastering money, business, and personal growth! Here, Speaker Singh breaks down complex financial concepts, shares tips on navigating the share market, and helps you develop the mindset for success. Whether you're looking to grow your wealth, level up your business game, or unlock your full potential, you're in the right place. Subscribe, and let's start your journey to financial freedom and personal excellence today!",0.044531,25.03,1.968
UC5fZv7bPcF5j2RsfO-9OiLA,Investor's Business Daily,181000,keyword,2026-08-14 19:05:18.125704+03:00,"Driven by a passion for investing, Investor’s Business Daily provides comprehensive stock market news and insights for every type of investor. Get one-of-a-kind investing video content featuring:

- Daily market news and analysis
- Original podcasts
- Exclusive interviews 
- How to invest videos 
- Options trading strategies
- Trending tech stock news  
- Personal finance tips
- And much more!

Subscribe today and start your journey to financial freedom.
",0.030933,66.38,0.4431
UChiJI6aZx9XflzWBg98p6TA,Tanisha Garg,177000,keyword,2026-08-14 19:09:35.274037+03:00,"For collaborations and business inquiries, please contact: collab@pehchaanmedia.com

I'm Tanisha Garg, a certified Research Analyst with a passion for empowering individuals with the knowledge to navigate the stock market confidently. Whether you're a beginner eager to learn the basics or an experienced trader looking to master advanced strategies, this channel is your go-to resource.

On this channel, you'll find:

Step-by-Step Guides: From understanding market fundamentals to executing complex trades.
Expert Insights: In-depth analysis, market trends, and strategies used by successful traders.
Interactive Sessions: Live Q&As, webinars, and tutorials designed to enhance your learning experience.
Practical Tips: Real-world examples and actionable advice to help you make informed decisions.

Subscribe now and embark on your journey to becoming a savvy investor. Let's decode the stock market together!
",0.055912,21.76,0.9803
UCVcMN2cHlHw1Q7wkF2GR8SQ,No Bs Crypto,157000,keyword,2026-08-14 19:04:56.665966+03:00,"Welcome to my channel.

I have content focused on the cryptocurrency markets, altcoins, and strategies to achieve financial freedom. The hardest part of your journey will be the beginning. Figuring out the processes, jargon, technical analysis and ultimately how to make informed investing decisions yourself. Here on my channel, you will find videos that will teach you how to do all of those things. It's finally time to change your life.

Throughout our journey together, we will be diving into different crypto projects and tokens, digging through all the information to bring you quality, No BS reviews. The gatekeepers want you to stay poor, but together we can unlock the gates to the crypto world and attain financial literacy and freedom together.

The future of finance and economy is Web3, and this is only the beginning. To find more No BS content, Follow my other socials below 👇
",0.06297,20.84,0.7084
UCVEWFrDlFd3qFXCEz8-98Vw,Tyler Hill Crypto,138000,keyword,2026-08-14 19:05:10.731387+03:00,"My investing journey began in equities in 2018 and expanded into crypto in 2020.

Since then, I have worked as a trader, content creator, and founder of a creator management agency that supports hundreds of creators in the crypto space.

This channel is where I document my thoughts, ideas, and insights into the market.

Enjoy :)
",0.071473,24.61,0.8273
UCH9HlTrjyLmLRS0iE1P4rrg,Money Rules - Investing Tips ,131000,keyword,2026-08-14 18:58:19.220204+03:00,"A channel dedicated to learning how to understand money and to grow wealth through the years. I'll be covering everything from how to make money, investing in cryptocurrency, Bitcoin, Ethereum,  explaining money trends and how to manage money and make it grow. I love finance and have been into finance for 10+ years and I'm always looking to help out anyone who is willing to listen. The channels name is a play on both ""Money rules everything around us"" and ""The rules of learning about money""",0.128298,29.41,0.8228
UCXVLLaHBapDimnNzS1wx2qw,Break Into CRE,105000,keyword,2026-08-14 19:05:08.873106+03:00,"After spending almost a decade working for and with some of the biggest real estate investment, brokerage, and lending firms in the world, I created Break Into CRE to share the things I wish someone had told me when I was first getting started in the industry.

Today, over 100,000 students have gone through our courses and the Break Into CRE Academy membership program to master real estate financial modeling and analysis, navigate the job search, and break into the real estate industry at top firms, including Brookfield, Starwood Capital Group, Hines, LaSalle Investment Management, TruAmerica Multifamily, Eastdil Secured, JLL, CBRE, and many more.

Learn more at https://breakintocre.com.

#realestatecareers #commercialrealestate #realestateinvesting #excel #financialmodeling 
",0.036062,4.37,0.7444
UCAm8TlOEXTPq2B04yQ0lDuA,Mission Side Hustle,100000,keyword,2026-08-14 19:12:13.186095+03:00,"I'm Corey, and I'm turning $500 into $1,000,000.

What started as a side hustle experiment in 2020 has become a real business - flipping furniture, reselling return pallets, and building multiple income streams from the ground up. Every dollar is tracked. Every win and loss is documented.

On this channel you'll find:
- Return pallet flips (Costco, Amazon, Apple, B-Stock - I buy them, unbox them, and sell them)
- The $500 to $1M net worth journey (monthly updates with real numbers)
- Niche Riches - I go inside other people's small businesses to see how they actually make money
- Reselling tutorials and sourcing strategies for every budget level

I sell on Facebook Marketplace, eBay, and Whatnot. I source from liquidation auctions, B-Stock, and local estate sales. I've been doing this for 6+ years and I share everything I've learned - the profits AND the losses.

New videos every Monday.
",0.05245,1.58,1.3056
UCyKdgkl95vgEawz06gYf7qw,JENNIFER COOK,93400,keyword,2026-08-14 19:15:57.692257+03:00,"Welcome! I have been in debt and not in control of my money. My early 20's were an exploration outside of the frugal lifestyle I was raised in. After getting into debt and having payments that amounted to more than my income I hit the ""never again"" moment. I was able to resolve the debt by gaining control of my money. Now in my 40's I share my experiences, ideas and creative solutions to help widen the gap between your income and your expenses.

 
",0.069125,3.07,1.9253
UCJNvGAjGJd54BoabQEC7RbQ,"Spend Time, Save Money, DIY",66200,keyword,2026-08-14 19:15:47.520466+03:00,"No nonsense DIY, woodworking and tool review videos. Designed to help and inspire people of all  DIY and woodworking abilities.

I now have a website with lots of DIY and money saving help and advice. The link is below. And follow me on Facebook, Instagram and TikTok.

If you are a company and would like me to test or review your tools or products then don't hesitate to get in touch! 
spendtimesavemoney@gmail.com

Don't forget to Like, Share, Comment and Subscribe 👍🏼

Making videos takes a great deal of time & effort and they can be expensive to make. If you would like to make a donation to help the channel continue to grow then follow the paypal link below. Thank you 👍🏼",0.019296,2.97,0.6928
UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,64000,keyword,2026-08-14 19:00:14.750368+03:00,"I help overwhelmed individuals get control of their money and build better habits so they can pay off debt, save consistently, and feel confident about their finances! 🤑

My name is Leila (pronounced Lay-La) and on this channel I document my own journey to financial freedom while also creating educational and entertaining content around money.

I offer financial coaching to help you budget, create a saving plan and get out of debt: https://debtoverit.com/coaching/
",0.051389,15.07,0.9788
UCoAuxtwgh8LSHeMFqEwjgHA,Steve Miller,53400,keyword,2026-08-14 19:05:25.423092+03:00,"Steve ""Slim"" Miller is a 50-year veteran stock, futures, and options trader. His approach combines technical analysis with cycle analysis. What's cycle analysis? Check out our videos to learn more, or visit askslim.com!
Disclosure:
tastytrade, Inc. (“tastytrade”) has entered into a Marketing Agreement with ask Slim (“Marketing Agent”) whereby tastytrade pays compensation to Marketing Agent to recommend tastytrade’s brokerage services. The existence of this Marketing Agreement should not be deemed as an endorsement or recommendation of Marketing Agent by tastytrade and/or any of its affiliated companies. Neither tastytrade nor any of its affiliated companies is responsible for the privacy practices of Marketing Agent or this website. tastytrade does not warrant the accuracy or content of the products or services offered by Marketing Agent or this website. Marketing Agent is independent and is not an affiliate of tastytrade. 
",0.042754,26.8,0.5076
UC3kVW0gp1De-FK0fQoLRRig,Christina's Side Hustles ,51200,keyword,2026-08-14 19:12:16.536574+03:00,"Ex-Amazon Recruiter and Big Tech Career Coach teaching you all about building side hustles and passive income online. If you're looking to monetize your hobbies and scale your side gigs, make sure to subscribe for new videos every week :) ",0.031934,2.71,0.8872
UCeUyx-u4JxLZyzQiIZODXiQ,Gold&Money Saving Video,50700,keyword,2026-08-14 19:15:50.725062+03:00,"Pls friend and family subscribe pannunga🥰👍🥰
Subscribe
Support

",0.001748,16.38,0.8024
